Date, RF , Mkt-RF 
2001-01-01 00:00:00,0.005,0.031
2001-02-01 00:00:00,0.004,-0.101
2001-03-01 00:00:00,0.004,-0.073
2001-04-01 00:00:00,0.004,0.079
2001-05-01 00:00:00,0.003,0.007
2001-06-01 00:00:00,0.003,-0.019
2001-07-01 00:00:00,0.003,-0.021
2001-08-01 00:00:00,0.003,-0.065
2001-09-01 00:00:00,0.003,-0.093
2001-10-01 00:00:00,0.002,0.025
2001-11-01 00:00:00,0.002,0.075
2001-12-01 00:00:00,0.002,0.016
2002-01-01 00:00:00,0.001,-0.014
2002-02-01 00:00:00,0.001,-0.023
2002-03-01 00:00:00,0.001,0.042
2002-04-01 00:00:00,0.002,-0.052
2002-05-01 00:00:00,0.001,-0.014
2002-06-01 00:00:00,0.001,-0.072
2002-07-01 00:00:00,0.002,-0.082
2002-08-01 00:00:00,0.001,0.005
2002-09-01 00:00:00,0.001,-0.104
2002-10-01 00:00:00,0.001,0.078
2002-11-01 00:00:00,0.001,0.06
2002-12-01 00:00:00,0.001,-0.058
2003-01-01 00:00:00,0.001,-0.026
2003-02-01 00:00:00,0.001,-0.019
2003-03-01 00:00:00,0.001,0.011
2003-04-01 00:00:00,0.001,0.082
2003-05-01 00:00:00,0.001,0.061
2003-06-01 00:00:00,0.001,0.014
2003-07-01 00:00:00,0.001,0.024
2003-08-01 00:00:00,0.001,0.023
2003-09-01 00:00:00,0.001,-0.012
2003-10-01 00:00:00,0.001,0.061
2003-11-01 00:00:00,0.001,0.014
2003-12-01 00:00:00,0.001,0.043
2004-01-01 00:00:00,0.001,0.022
2004-02-01 00:00:00,0.001,0.014
2004-03-01 00:00:00,0.001,-0.013
2004-04-01 00:00:00,0.001,-0.018
2004-05-01 00:00:00,0.001,0.012
2004-06-01 00:00:00,0.001,0.019
2004-07-01 00:00:00,0.001,-0.041
2004-08-01 00:00:00,0.001,0.001
2004-09-01 00:00:00,0.001,0.016
2004-10-01 00:00:00,0.001,0.014
2004-11-01 00:00:00,0.002,0.045
2004-12-01 00:00:00,0.002,0.034
2005-01-01 00:00:00,0.002,-0.028
2005-02-01 00:00:00,0.002,0.019
2005-03-01 00:00:00,0.002,-0.02
2005-04-01 00:00:00,0.002,-0.026
2005-05-01 00:00:00,0.002,0.037
2005-06-01 00:00:00,0.002,0.006
2005-07-01 00:00:00,0.002,0.039
2005-08-01 00:00:00,0.003,-0.012
2005-09-01 00:00:00,0.003,0.005
2005-10-01 00:00:00,0.003,-0.02
2005-11-01 00:00:00,0.003,0.036
2005-12-01 00:00:00,0.003,-0.003
2006-01-01 00:00:00,0.004,0.03
2006-02-01 00:00:00,0.003,-0.003
2006-03-01 00:00:00,0.004,0.015
2006-04-01 00:00:00,0.004,0.007
2006-05-01 00:00:00,0.004,-0.036
2006-06-01 00:00:00,0.004,-0.004
2006-07-01 00:00:00,0.004,-0.008
2006-08-01 00:00:00,0.004,0.02
2006-09-01 00:00:00,0.004,0.018
2006-10-01 00:00:00,0.004,0.032
2006-11-01 00:00:00,0.004,0.017
2006-12-01 00:00:00,0.004,0.009
2007-01-01 00:00:00,0.004,0.014
2007-02-01 00:00:00,0.004,-0.02
2007-03-01 00:00:00,0.004,0.007
2007-04-01 00:00:00,0.004,0.035
2007-05-01 00:00:00,0.004,0.032
2007-06-01 00:00:00,0.004,-0.02
2007-07-01 00:00:00,0.004,-0.037
2007-08-01 00:00:00,0.004,0.009
2007-09-01 00:00:00,0.003,0.032
2007-10-01 00:00:00,0.003,0.018
2007-11-01 00:00:00,0.003,-0.048
2007-12-01 00:00:00,0.003,-0.009
2008-01-01 00:00:00,0.002,-0.064
2008-02-01 00:00:00,0.001,-0.031
2008-03-01 00:00:00,0.002,-0.009
2008-04-01 00:00:00,0.002,0.046
2008-05-01 00:00:00,0.002,0.019
2008-06-01 00:00:00,0.002,-0.084
2008-07-01 00:00:00,0.002,-0.008
2008-08-01 00:00:00,0.001,0.015
2008-09-01 00:00:00,0.002,-0.092
2008-10-01 00:00:00,0.001,-0.172
2008-11-01 00:00:00,0,-0.079
2008-12-01 00:00:00,0,0.017
2009-01-01 00:00:00,0,-0.081
2009-02-01 00:00:00,0,-0.101
2009-03-01 00:00:00,0,0.09
2009-04-01 00:00:00,0,0.102
2009-05-01 00:00:00,0,0.052
2009-06-01 00:00:00,0,0.004
2009-07-01 00:00:00,0,0.077
2009-08-01 00:00:00,0,0.033
2009-09-01 00:00:00,0,0.041
2009-10-01 00:00:00,0,-0.026
2009-11-01 00:00:00,0,0.056
2009-12-01 00:00:00,0,0.028
2010-01-01 00:00:00,0,-0.034
2010-02-01 00:00:00,0,0.034
2010-03-01 00:00:00,0,0.063
2010-04-01 00:00:00,0,0.02
2010-05-01 00:00:00,0,-0.079
2010-06-01 00:00:00,0,-0.056
2010-07-01 00:00:00,0,0.069
2010-08-01 00:00:00,0,-0.048
2010-09-01 00:00:00,0,0.095
2010-10-01 00:00:00,0,0.039
